DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERMEMUNIC,HAARBRADES,HANOARBRAD,HANOFOREST,HAFORESTAL
18/02/2023,41,Vallès Oriental,082074,Sant Esteve de Palautordera,0.00,0.02,0.00,0.02
19/02/2023,15,Cerdanya,251752,Prats i Sansor,0.15,0.00,0.00,0.15
19/02/2023,12,Baix Penedès,431634,"Vendrell, el",0.02,0.00,0.00,0.02
19/02/2023,19,Garrotxa,172082,"Vall de Bianya, la",0.90,0.00,0.00,0.90
20/02/2023,34,Selva,171595,Sant Feliu de Buixalleu,0.00,0.00,0.00,0.00
20/02/2023,30,Ribera d'Ebre,431508,Tivissa,0.00,0.24,0.00,0.24
20/02/2023,36,Tarragonès,431482,Tarragona,0.00,0.00,0.00,0.00
20/02/2023,06,Anoia,082264,Sant Martí de Tous,0.00,0.35,0.00,0.35
21/02/2023,40,Vallès Occidental,082798,Terrassa,0.00,0.00,0.00,0.00
21/02/2023,42,Moianès,081385,Moià,0.02,0.00,0.00,0.02
21/02/2023,11,Baix Llobregat,080569,Castelldefels,0.00,0.00,0.00,0.00
25/02/2023,20,Gironès,170792,Girona,0.00,0.20,0.00,0.20
27/02/2023,06,Anoia,082508,Santa Margarida de Montbui,0.01,0.00,0.00,0.01
01/03/2023,09,Baix Ebre,431554,Tortosa,0.00,0.04,0.00,0.04
02/03/2023,09,Baix Ebre,439060,"Ampolla, l'",0.00,0.00,0.00,0.00
02/03/2023,20,Gironès,170890,Llagostera,0.00,0.05,0.00,0.05
03/03/2023,34,Selva,170335,Caldes de Malavella,0.13,0.00,0.00,0.13
03/03/2023,09,Baix Ebre,431554,Tortosa,0.00,0.39,0.00,0.39
03/03/2023,11,Baix Llobregat,080667,Castellví de Rosanes,0.00,0.02,0.00,0.02
04/03/2023,37,Terra Alta,430640,Gandesa,0.00,0.40,0.00,0.40
04/03/2023,22,Montsià,430141,Amposta,0.00,0.01,0.00,0.01
04/03/2023,37,Terra Alta,430419,Caseres,0.00,0.13,0.00,0.13
04/03/2023,20,Gironès,171557,Salt,0.00,0.00,0.00,0.00
04/03/2023,29,Priorat,431541,Torroja del Priorat,0.00,0.13,0.00,0.13
04/03/2023,09,Baix Ebre,431554,Tortosa,0.02,0.00,0.00,0.02
05/03/2023,19,Garrotxa,171848,Santa Pau,0.00,0.22,0.00,0.22
05/03/2023,09,Baix Ebre,431042,"Perelló, el",0.00,0.02,0.00,0.02
05/03/2023,10,Baix Empordà,171181,Palamós,0.38,0.00,0.00,0.38
06/03/2023,11,Baix Llobregat,082114,Sant Feliu de Llobregat,0.00,0.00,0.00,0.00
07/03/2023,37,Terra Alta,430640,Gandesa,0.00,0.00,0.00,0.00
07/03/2023,13,Barcelonès,082457,Santa Coloma de Gramenet,0.00,0.06,0.00,0.06
07/03/2023,02,Alt Empordà,171208,Palau-saverdera,0.15,0.00,0.00,0.15
08/03/2023,03,Alt Penedès,082732,Subirats,0.00,0.05,0.00,0.05
08/03/2023,41,Vallès Oriental,080863,"Franqueses del Vallès, les",0.00,0.19,0.00,0.19
08/03/2023,18,Garrigues,251018,"Granadella, la",0.17,0.00,0.00,0.17
09/03/2023,33,Segrià,251425,Montoliu de Lleida,0.00,0.02,0.00,0.02
09/03/2023,34,Selva,171595,Sant Feliu de Buixalleu,0.97,0.00,0.00,0.97
09/03/2023,24,Osona,081000,Gurb,0.05,0.00,0.00,0.05
10/03/2023,31,Ripollès,171674,Sant Joan de les Abadesses,1.70,0.00,0.00,1.70
10/03/2023,38,Urgell,259025,Sant Martí de Riucorb,0.22,3.50,0.00,3.72
10/03/2023,01,Alt Camp,431248,"Riba, la",0.00,0.00,0.00,0.00
