LONGITUD_X,LATITUD_Y,DISTRICTE,TIPUS_CARRER,CARRER
2.14855726,41.38444227,L'EIXAMPLE,CARRER,CALABRIA
2.212606301,41.40521565,SANT MARTI,PASSEIG,TAULAT
2.200512252,41.39686219,SANT MARTI,CARRER,DOCTOR TRUETA
2.157457129,41.37360041,SANTS-MONTJUÏC,CARRER,OLIVERA
2.175493835,41.38289812,CIUTAT VELLA,CARRER,SANT DOMENEC DEL CALL
2.171047917,41.38273074,CIUTAT VELLA,CARRER,CARME
2.171047917,41.38273074,CIUTAT VELLA,CARRER,CARME
2.171047917,41.38273074,CIUTAT VELLA,CARRER,CARME
2.171047917,41.38273074,CIUTAT VELLA,CARRER,CARME
2.171047917,41.38273074,CIUTAT VELLA,CARRER,CARME
2.171047917,41.38273074,CIUTAT VELLA,CARRER,CARME
2.171047917,41.38273074,CIUTAT VELLA,CARRER,CARME
2.204273999,41.40274605,SANT MARTI,CARRER,LLULL
2.17375396,41.40123289,L'EIXAMPLE,CARRER,SICILIA
2.156499909,41.39987503,GRACIA,CARRER,SANT DOMENEC
2.156499909,41.39987503,GRACIA,CARRER,SANT DOMENEC
2.1691903,41.39614379,L'EIXAMPLE,CARRER,GIRONA
2.1691903,41.39614379,L'EIXAMPLE,CARRER,GIRONA
2.144238486,41.39399069,SARRIA-SANT GERVASI,CARRER,CALVET
2.178115446,41.38000168,CIUTAT VELLA,CARRER,SERRA
2.162270713,41.40050934,GRACIA,CARRER,LLIBERTAT
2.194267619,41.392456,SANT MARTI,CARRER,ROSA SENSAT
2.162251246,41.37480178,SANTS-MONTJUÏC,AVINGUDA,PARAL.LEL
2.150826765,41.39025317,L'EIXAMPLE,CARRER,CORSEGA
2.150826765,41.39025317,L'EIXAMPLE,CARRER,CORSEGA
2.150826765,41.39025317,L'EIXAMPLE,CARRER,CORSEGA
2.159254941,41.39393576,L'EIXAMPLE,RAMBLA,CATALUNYA
2.161174663,41.38234471,L'EIXAMPLE,CARRER,SEPULVEDA
2.154799422,41.40165109,GRACIA,CARRER,PERE SERAFI
2.172506384,41.38317636,CIUTAT VELLA,CARRER,PETRITXOL
2.172506384,41.38317636,CIUTAT VELLA,CARRER,PETRITXOL
2.172554819,41.42192772,HORTA-GUINARDÓ,CARRER,LLOBET I VALL-LLOSERA
2.15879684,41.39113402,L'EIXAMPLE,CARRER,MALLORCA
2.173989498,41.39405006,L'EIXAMPLE,GRAN VIA,CORTS CATALANES
2.176786013,41.38978176,L'EIXAMPLE,CARRER,TRAFALGAR
2.176786013,41.38978176,L'EIXAMPLE,CARRER,TRAFALGAR
2.153204951,41.37519979,L'EIXAMPLE,AVINGUDA,PARAL.LEL
2.160390046,41.39621513,L'EIXAMPLE,PASSEIG,GRACIA
2.160390046,41.39621513,L'EIXAMPLE,PASSEIG,GRACIA
2.175776396,41.38946383,L'EIXAMPLE,CARRER,BRUC
2.155694986,41.37763209,L'EIXAMPLE,CARRER,ROCAFORT
2.166937327,41.37367159,SANTS-MONTJUÏC,CARRER,ROSER
2.154556106,41.38624691,L'EIXAMPLE,CARRER,VALENCIA
2.117740662,41.37833465,LES CORTS,CARRER,CARDENAL REIG
2.117740662,41.37833465,LES CORTS,CARRER,CARDENAL REIG
2.158336102,41.39704927,GRACIA,PASSEIG,GRACIA
2.158336102,41.39704927,GRACIA,PASSEIG,GRACIA
2.158336102,41.39704927,GRACIA,PASSEIG,GRACIA
2.171648178,41.38945381,L'EIXAMPLE,CARRER,PAU CLARIS
2.161310032,41.38792539,L'EIXAMPLE,CARRER,CONSELL DE CENT
2.161310032,41.38792539,L'EIXAMPLE,CARRER,CONSELL DE CENT
2.161310032,41.38792539,L'EIXAMPLE,CARRER,CONSELL DE CENT
2.161310032,41.38792539,L'EIXAMPLE,CARRER,CONSELL DE CENT
2.171648178,41.38945381,L'EIXAMPLE,CARRER,PAU CLARIS
2.175627443,41.40081596,L'EIXAMPLE,AVINGUDA,DIAGONAL
2.177414549,41.40208412,L'EIXAMPLE,CARRER,MARINA
2.157871151,41.38533826,L'EIXAMPLE,CARRER,CONSELL DE CENT
2.161310032,41.38792539,L'EIXAMPLE,CARRER,CONSELL DE CENT
2.161310032,41.38792539,L'EIXAMPLE,CARRER,CONSELL DE CENT
2.161310032,41.38792539,L'EIXAMPLE,CARRER,CONSELL DE CENT
2.161310032,41.38792539,L'EIXAMPLE,CARRER,CONSELL DE CENT
2.131557856,41.37308247,SANTS-MONTJUÏC,RAMBLA,BADAL
2.131557856,41.37308247,SANTS-MONTJUÏC,RAMBLA,BADAL
2.131557856,41.37308247,SANTS-MONTJUÏC,RAMBLA,BADAL
2.131557856,41.37308247,SANTS-MONTJUÏC,RAMBLA,BADAL
2.131557856,41.37308247,SANTS-MONTJUÏC,RAMBLA,BADAL
2.131557856,41.37308247,SANTS-MONTJUÏC,RAMBLA,BADAL
2.131557856,41.37308247,SANTS-MONTJUÏC,RAMBLA,BADAL
2.131557856,41.37308247,SANTS-MONTJUÏC,RAMBLA,BADAL
2.166926085,41.39391119,L'EIXAMPLE,CARRER,ARAGO
2.174512241,41.41022927,L'EIXAMPLE,AVINGUDA,GAUDI
2.158947206,41.38854382,L'EIXAMPLE,CARRER,ARIBAU
2.179213549,41.41110402,SANT MARTI,CARRER,INDEPENDENCIA
2.154039282,41.40363718,GRACIA,CARRER,BADIA
2.144077594,41.39411612,SARRIA-SANT GERVASI,CARRER,CALVET
2.144077594,41.39411612,SARRIA-SANT GERVASI,CARRER,CALVET
2.144077594,41.39411612,SARRIA-SANT GERVASI,CARRER,CALVET
2.170564036,41.39801108,L'EIXAMPLE,CARRER,VALENCIA
2.170564036,41.39801108,L'EIXAMPLE,CARRER,VALENCIA
2.165120057,41.40837874,GRACIA,CARRER,VENTALLO
2.165120057,41.40837874,GRACIA,CARRER,VENTALLO
2.165120057,41.40837874,GRACIA,CARRER,VENTALLO
2.165120057,41.40837874,GRACIA,CARRER,VENTALLO
2.165120057,41.40837874,GRACIA,CARRER,VENTALLO
2.179213549,41.41110402,SANT MARTI,CARRER,INDEPENDENCIA
2.179213549,41.41110402,SANT MARTI,CARRER,INDEPENDENCIA
2.154112232,41.38591586,L'EIXAMPLE,CARRER,VALENCIA
2.206918453,41.40511417,SANT MARTI,CARRER,BAC DE RODA
2.179213549,41.41110402,SANT MARTI,CARRER,INDEPENDENCIA
2.150947754,41.40524927,GRACIA,CARRER,GRAN DE GRACIA
2.147479823,41.40563253,SARRIA-SANT GERVASI,RONDA,GENERAL MITRE
2.179213549,41.41110402,SANT MARTI,CARRER,INDEPENDENCIA
2.179213549,41.41110402,SANT MARTI,CARRER,INDEPENDENCIA
2.180400437,41.39506611,L'EIXAMPLE,CARRER,AUSIAS MARC
2.180400437,41.39506611,L'EIXAMPLE,CARRER,AUSIAS MARC
2.180400437,41.39506611,L'EIXAMPLE,CARRER,AUSIAS MARC
2.180400437,41.39506611,L'EIXAMPLE,CARRER,AUSIAS MARC
2.16965834,41.40828371,HORTA-GUINARDÓ,CARRER,MARINA
2.16965834,41.40828371,HORTA-GUINARDÓ,CARRER,MARINA
2.210217785,41.40470091,SANT MARTI,CARRER,PELLAIRES
2.210217785,41.40470091,SANT MARTI,CARRER,PELLAIRES
2.210217785,41.40470091,SANT MARTI,CARRER,PELLAIRES
2.210217785,41.40470091,SANT MARTI,CARRER,PELLAIRES
2.210217785,41.40470091,SANT MARTI,CARRER,PELLAIRES
2.144077594,41.39411612,SARRIA-SANT GERVASI,CARRER,CALVET
2.180400437,41.39506611,L'EIXAMPLE,CARRER,AUSIAS MARC
2.180400437,41.39506611,L'EIXAMPLE,CARRER,AUSIAS MARC
2.180400437,41.39506611,L'EIXAMPLE,CARRER,AUSIAS MARC
2.180400437,41.39506611,L'EIXAMPLE,CARRER,AUSIAS MARC
2.180400437,41.39506611,L'EIXAMPLE,CARRER,AUSIAS MARC
2.145109568,41.39404697,SARRIA-SANT GERVASI,CARRER,SAGUES
2.147839652,41.39458945,SARRIA-SANT GERVASI,PASSATGE,MARIMON
2.147839652,41.39458945,SARRIA-SANT GERVASI,PASSATGE,MARIMON
2.165719949,41.40285807,GRACIA,CARRER,INDUSTRIA
2.165719949,41.40285807,GRACIA,CARRER,INDUSTRIA
2.165719949,41.40285807,GRACIA,CARRER,INDUSTRIA
2.210217785,41.40470091,SANT MARTI,CARRER,PELLAIRES
2.185153933,41.39333361,SANT MARTI,CARRER,ALMOGAVERS
2.160012265,41.39115276,L'EIXAMPLE,CARRER,BALMES
2.159053759,41.39779146,GRACIA,CARRER,BONAVISTA
2.180400437,41.39506611,L'EIXAMPLE,CARRER,AUSIAS MARC
2.161310032,41.38792539,L'EIXAMPLE,CARRER,CONSELL DE CENT
2.161310032,41.38792539,L'EIXAMPLE,CARRER,CONSELL DE CENT
2.161310032,41.38792539,L'EIXAMPLE,CARRER,CONSELL DE CENT
2.145109568,41.39404697,SARRIA-SANT GERVASI,CARRER,SAGUES
2.147479823,41.40563253,SARRIA-SANT GERVASI,RONDA,GENERAL MITRE
2.158379287,41.39986054,GRACIA,CARRER,FRANCISCO GINER
2.164895164,41.37150313,SANTS-MONTJUÏC,CARRER,SALVA
2.164895164,41.37150313,SANTS-MONTJUÏC,CARRER,SALVA
2.164895164,41.37150313,SANTS-MONTJUÏC,CARRER,SALVA
2.159053759,41.39779146,GRACIA,CARRER,BONAVISTA
2.152022457,41.38210541,L'EIXAMPLE,CARRER,CALABRIA
2.172530678,41.39295313,L'EIXAMPLE,GRAN VIA,CORTS CATALANES
2.182067159,41.40833428,SANT MARTI,CARRER,MALLORCA
2.182067159,41.40833428,SANT MARTI,CARRER,MALLORCA
2.16940914,41.40308738,GRACIA,CARRER,NAPOLS
2.165120057,41.40837874,GRACIA,CARRER,VENTALLO
2.165120057,41.40837874,GRACIA,CARRER,VENTALLO
2.165120057,41.40837874,GRACIA,CARRER,VENTALLO
2.170441447,41.3917867,L'EIXAMPLE,CARRER,ROGER DE LLURIA
2.174963107,41.38905943,L'EIXAMPLE,CARRER,TRAFALGAR
2.172263976,41.40467526,L'EIXAMPLE,CARRER,ROSSELLO
2.16965834,41.40828371,HORTA-GUINARDÓ,CARRER,MARINA
2.175236346,41.38972712,L'EIXAMPLE,RONDA,SANT PERE
2.185469487,41.39356787,SANT MARTI,CARRER,ALMOGAVERS
2.165120057,41.40837874,GRACIA,CARRER,VENTALLO
2.165120057,41.40837874,GRACIA,CARRER,VENTALLO
2.165120057,41.40837874,GRACIA,CARRER,VENTALLO
2.165120057,41.40837874,GRACIA,CARRER,VENTALLO
2.17151152,41.40411381,GRACIA,CARRER,ROSSELLO
2.147479823,41.40563253,SARRIA-SANT GERVASI,RONDA,GENERAL MITRE
2.147479823,41.40563253,SARRIA-SANT GERVASI,RONDA,GENERAL MITRE
2.170092561,41.39375576,L'EIXAMPLE,CARRER,BRUC
2.188670162,41.37871945,CIUTAT VELLA,CARRER,SANT MIQUEL
2.146398599,41.40376784,SARRIA-SANT GERVASI,CARRER,FRANCOLI
2.203394169,41.40818484,SANT MARTI,CARRER,BAC DE RODA
2.203394169,41.40818484,SANT MARTI,CARRER,BAC DE RODA
2.157402659,41.40342383,GRACIA,CARRER,VERDI
2.171176806,41.37235444,SANTS-MONTJUÏC,PASSEIG,MONTJUIC
2.123335227,41.39836026,SARRIA-SANT GERVASI,CARRER,CORNET I MAS
2.15829831,41.38159787,L'EIXAMPLE,GRAN VIA,CORTS CATALANES
2.179213549,41.41110402,SANT MARTI,CARRER,INDEPENDENCIA
2.179349547,41.41144686,SANT MARTI,CARRER,CORSEGA
2.170564036,41.39801108,L'EIXAMPLE,CARRER,VALENCIA
2.170564036,41.39801108,L'EIXAMPLE,CARRER,VALENCIA
2.170564036,41.39801108,L'EIXAMPLE,CARRER,VALENCIA
2.159053759,41.39779146,GRACIA,CARRER,BONAVISTA
2.159053759,41.39779146,GRACIA,CARRER,BONAVISTA
2.159053759,41.39779146,GRACIA,CARRER,BONAVISTA
2.159053759,41.39779146,GRACIA,CARRER,BONAVISTA
2.159053759,41.39779146,GRACIA,CARRER,BONAVISTA
2.164895164,41.37150313,SANTS-MONTJUÏC,CARRER,SALVA
2.164895164,41.37150313,SANTS-MONTJUÏC,CARRER,SALVA
2.146767713,41.37897555,L'EIXAMPLE,CARRER,LLANÇA
2.159053759,41.39779146,GRACIA,CARRER,BONAVISTA
2.159053759,41.39779146,GRACIA,CARRER,BONAVISTA
2.159053759,41.39779146,GRACIA,CARRER,BONAVISTA
2.166017132,41.39322475,L'EIXAMPLE,CARRER,ARAGO
2.172827153,41.39837373,L'EIXAMPLE,CARRER,ARAGO
2.172827153,41.39837373,L'EIXAMPLE,CARRER,ARAGO
