id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32150427,Ático con terraza en Gracia VERDI 2,5107063,Sergio,Gràcia,la Vila de Gràcia,41.40704,2.15522,Entire home/apt,89,32,29,2022-10-01,0.63,11,330,3,HUTB-011672
32153728,"Near to Sagrada Familia, clean and good located.",241203677,Alexander E.,Horta-Guinardó,el Baix Guinardó,41.4078,2.16943,Private room,39,2,105,2022-12-10,2.28,1,44,47,Exempt
32559303,Habitación para 1 persona con baño privado,29366913,Anna,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40726,2.14014,Private room,65,1,18,2020-03-13,0.39,3,0,0,Exempt
32302298,☼Sweet Lovely Home of Barceloneta ☼,239550764,Jaye Anne,Ciutat Vella,la Barceloneta,41.38211,2.18851,Entire home/apt,42,32,8,2022-11-01,0.19,20,204,4,
32304461,2-2 Apartamento Sagrada Familia,22076771,Luis,Sant Martí,el Camp de l'Arpa del Clot,41.41232,2.18398,Entire home/apt,70,31,3,2020-03-02,0.07,25,0,0,
32154351,★ CENTRAL MODERN 3 BD 2BTH DESIGN APT Wi-Fi / AC ★,224254688,Gala,Ciutat Vella,el Raval,41.37993,2.17004,Entire home/apt,105,31,24,2022-10-31,0.52,5,364,5,Exempt
32560726,Cosy City Centre Apt WIfi Fully Equiped,210274072,Irene,Ciutat Vella,el Raval,41.38285,2.16612,Entire home/apt,60,32,3,2019-08-31,0.07,1,172,0,
32154646,Lujo y confort en el centro de Barcelona,59317222,Midtown,Eixample,la Dreta de l'Eixample,41.39233,2.1735,Entire home/apt,172,1,38,2022-11-27,1.53,7,36,18,ATB-000086
32561248,Cozy Double Room with Shower (breakfast included),116807111,Lorenzo,Eixample,la Dreta de l'Eixample,41.39202,2.17527,Private room,73,1,50,2022-10-21,1.12,7,261,19,HB-004126
32561520,Double Room  w/ Balcony or Terrace & Shower,116807111,Lorenzo,Eixample,la Dreta de l'Eixample,41.39202,2.17527,Private room,89,1,224,2022-12-07,4.94,7,274,62,HB-004126
32305182,Cozy and Modern  Single Room (breakfast included),116807111,Lorenzo,Eixample,la Dreta de l'Eixample,41.39202,2.17527,Private room,71,1,115,2022-12-04,2.63,7,264,30,HB-004126
32305209,Cozy and Modern Double room   (breakfast included),116807111,Lorenzo,Eixample,la Dreta de l'Eixample,41.39202,2.17527,Private room,81,1,241,2022-12-06,5.99,7,255,117,HB-004126
32156307,Hotel room with garden views,221158481,Hotel Alma Barcelona,Eixample,la Dreta de l'Eixample,41.39521,2.16432,Hotel room,377,1,0,,,2,0,0,HB-004465
32305216,Un mes en Barcelona,39990906,Monica,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40731,2.20679,Entire home/apt,50,31,1,2022-10-30,0.68,1,29,1,
32313873,Double Room w/pvt. Bathroom & Terrace in Poble Sec,3006671,Gianluca,Sants-Montjuïc,el Poble Sec,41.37377,2.15923,Private room,50,31,44,2022-12-02,0.95,1,179,2,Exempt
32320950,Central penthouse panoramic views Placa Catalunya,5264883,Unique,Eixample,la Dreta de l'Eixample,41.38766,2.16976,Entire home/apt,220,1,113,2022-12-01,2.55,42,297,52,HUTB-680328
32564135,New! 110m2 apartment for 5 people in Pedralbes,127482361,Apkeys,Les Corts,Pedralbes,41.38816,2.11381,Entire home/apt,76,32,5,2022-11-06,0.12,9,314,3,
32571410,Lovely and Cozy Bedroom  Barcelona City Center,238958805,Ezequiel,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38773,2.17647,Private room,33,1,157,2022-12-10,4.41,2,45,74,Exempt
32156312,Luxury hotel room with garden views,221158481,Hotel Alma Barcelona,Eixample,la Dreta de l'Eixample,41.39376,2.16415,Hotel room,436,1,0,,,2,0,0,HB-004465
32323295,Stylish apartment in Gracia by Montaber,2509252,Montaber,Gràcia,la Vila de Gràcia,41.40395,2.15807,Entire home/apt,94,1,103,2022-11-28,2.24,12,337,47,HUTB-009450
